CS 54300,Introduction to Simulation and Modeling of Computer Systems,Vernon J. Rego,fall
CS 56900,Introduction To Robotic Systems,Chun-Sing G. Lee,fall
CS 57300,Data Mining,Jennifer Neville,fall
CS 57800,Machine Learning,fall
CS 57900,Bioinformatics Algorithms,Alex Pothen,fall
CS 58000,"Algorithm Design, Analysis, and Implementation",Yi Wu,fall
CS 59000-CLS,Computing For Life Sciences,Daisuke Kihara,fall
CS 59000-CTT,Current Tpcs In Theoretical CS,Elena Grigorescu,fall
CS 59100-DSN,Research Seminar for First-Year Graduate Students,fall
CS 59100-RS1,Res Sem First Yr Gr Student,"Samuel S. Wagstaff, Jr.",fall
CS 59100-SEC,Info Sec&Cybr Crime Sem,fall
CS 65500,Advanced Cryptology,"Samuel S. Wagstaff, Jr.",fall
CS 69000-XXX,Elena Grigorescu,fall
CS 11000,Introduction to Computers,Marta A. Crowe,spring
CS 15800,C Programming,William N Crum,spring
CS 15900,Programming Applications For Engineers,William N Crum,spring
CS 17700,Programming with Multimedia Objects,Voicu S. Popescu,spring
CS 18000,Programming I,Sunil Prabhakar,spring
CS 18200,Foundations of Computer Science,"Mikhail Atallah, Wojciech Szpankowski",spring
CS 19000-CIC,Contempory Issues Computing,spring
CS 19700,Freshman Honors Seminar,spring
CS 23500,Introduction to Organizational Computing,spring
CS 24000,Programming in C,"Sonia Fahmy, Vernon J. Rego",spring
CS 25000,Computer Architecture,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 25100,Data Structures,"Sonia Fahmy, Xavier Tricoche",spring
CS 25200,Systems Programming,spring
CS 29000-SLO,Service Learning Outreach,spring
CS 30700,Software Engineering I,H. E. Dunsmore,spring
CS 31400,Numerical Methods,Alex Pothen,spring
CS 33400,Fundamentals of Computer Graphics,Daniel G. Aliaga,spring
CS 34800,Information Systems,Elisa Bertino,spring
CS 35200,Compilers: Principles and Practice,Zhiyuan Li,spring
CS 35400,Operating Systems,Dongyan Xu,spring
CS 38100,Introduction to the Analysis of Algorithms,Greg N. Frederickson,spring
CS 39000-CPP,C++ Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-DM0,Data Mining & Machine Learning,Jennifer Neville,spring
CS 39000-JAV,Advanced Java Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-PCP,Prncpls Concurrncy&Parallelism,Suresh Jagannathan,spring
CS 39000-PYT,Python Programming,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 39000-SLO,Service Learning Outreach,spring
CS 42600,Computer Security,"Samuel S. Wagstaff, Jr.",spring
CS 44800,Introduction to Relational Database Systems,Walid G. Aref,spring
CS 45600,Programming Languages,spring
CS 49000-ES0,Software For Embedded Systems,spring
